mtag,cc,rounds,out_tok_s,ttft_mean_ms,ttft_p99_ms,tpot_mean_ms,tpot_p99_ms,req_s,olen
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,1,3,138.33,408.13,414.96,6.84,6.85,0.14,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,2,3,251.1,595.75,789.86,7.39,7.58,0.25,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,4,3,411.7,1141.5,1540.69,8.61,9.33,0.4,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,8,3,629.33,1820.42,3011.2,10.94,12.31,0.61,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,16,3,797.64,2325.22,5977.16,17.73,19.73,0.78,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,32,3,990.11,2864.98,11802.34,29.44,31.78,0.97,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,64,3,1271.24,4417.94,23339.78,45.95,49.4,1.24,1024
Qwen3.5-397B-A17B-FP8_tp8_h203e_dgfloat,128,3,1273.89,7347.34,46717.75,92.97,98.66,1.24,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,1,3,102.72,726.94,732.73,9.03,9.05,0.1,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,2,3,162.69,1073.71,1432.1,11.25,11.64,0.16,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,4,3,260.26,1941.7,2824.78,13.48,14.69,0.25,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,8,3,389.38,2995.73,5600.46,17.63,20.02,0.38,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,16,3,513.46,3823.24,11161.44,27.43,30.76,0.5,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,32,3,648.62,5153.55,22092.93,44.28,48.83,0.63,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,64,3,752.1,7919.08,43666.35,77.25,83.74,0.73,1024
Qwen3.5-397B-A17B-FP8_tp8_triton,128,3,811.32,13810.47,87945.91,143.86,155.48,0.79,1024
